closed_at,product_id,position_side,net_size,leverage,opened_at,closure_reason,entry_price,exit_price,profit_loss,profit_loss_pct,mae,mfe,duration_seconds
2025-10-12T07:00:00Z,EURC-PERP-INTX,LONG,436.3,,2025-10-11T07:20:58Z,expired,1.146,1.1507,2.05,0.4101,-0.68,0.52,85142
2025-10-13T01:00:00Z,BCH-PERP-INTX,LONG,0.959,,2025-10-12T07:24:58Z,take_profit,521.77347,546.8186,24.02,4.8,-1.0,4.96,63302
2025-10-13T05:00:00Z,PAXG-PERP-INTX,SHORT,-0.1246,,2025-10-12T07:25:09Z,stop_loss,4012.4749,4068.1877,-6.94,-1.3885,-1.91,0.31,77691
2025-10-13T07:00:00Z,EURC-PERP-INTX,LONG,434.7,,2025-10-12T07:24:48Z,expired,1.1502,1.16,4.26,0.852,-0.02,1.05,84912
2025-10-13T23:00:00Z,PAXG-PERP-INTX,SHORT,-0.1225,,2025-10-13T07:26:27Z,stop_loss,4079.7382,4134.7765,-6.74,-1.3491,-3.21,0.11,56013
2025-10-14T06:00:00Z,ADA-PERP-INTX,SHORT,-693,,2025-10-13T07:26:47Z,take_profit,0.721473,0.6868423,24.0,4.8,-2.1,7.19,81193
2025-10-14T07:00:00Z,EURC-PERP-INTX,SHORT,-430.8,,2025-10-13T07:26:37Z,expired,1.1605,1.1549,2.41,0.4826,-0.05,0.54,84803
2025-10-15T01:00:00Z,PAXG-PERP-INTX,SHORT,-0.1207,,2025-10-14T07:29:17Z,stop_loss,4142.0224,4201.8221,-7.22,-1.4437,-2.32,0.8,63043
2025-10-15T07:00:00Z,EURC-PERP-INTX,LONG,432.6,,2025-10-14T07:29:07Z,expired,1.1558,1.1627,2.98,0.597,-0.17,0.63,84653
2025-10-15T13:00:00Z,ADA-PERP-INTX,LONG,712,,2025-10-15T06:59:04Z,stop_loss,0.7026,0.6801168,-16.01,-3.2,-6.39,1.98,21656
2025-10-15T20:00:00Z,BCH-PERP-INTX,LONG,0.932,,2025-10-15T06:59:16Z,stop_loss,536.84,519.66112,-16.01,-3.2,-3.6,1.69,46844
2025-10-16T06:00:00Z,PAXG-PERP-INTX,SHORT,-0.1185,,2025-10-15T06:59:26Z,expired,4219.446,4239.4,-2.36,-0.4729,-1.14,0.91,82834
2025-10-16T16:00:00Z,PAXG-PERP-INTX,SHORT,-0.1178,,2025-10-16T07:01:15Z,stop_loss,4245.5419,4307.5237,-7.3,-1.4599,-12.82,0.16,32325
2025-10-17T07:00:00Z,EURC-PERP-INTX,SHORT,-429.2,,2025-10-16T07:01:27Z,expired,1.1649,1.1699,-2.15,-0.4292,-0.59,0.05,86313
2025-10-17T16:00:00Z,PAXG-PERP-INTX,SHORT,-0.1137,,2025-10-17T07:06:32Z,take_profit,4396.4655,4220.3683,20.02,4.0054,-1.0,4.59,32008
